Date,v.speed,u.speed
5/18/1948,-7.389997847,-3.23999794
5/19/1948,-2.889997948,7.600001818
5/20/1948,-0.849997994,5.650001861
5/21/1948,4.150001895,0.370001979
5/22/1948,3.190001916,-4.959997902
5/23/1948,-2.859997949,-5.009997901
5/24/1948,-7.539997844,-1.109997988
5/25/1948,-8.689997818,3.850001901
5/26/1948,-1.519997979,-1.099997988
5/27/1948,-1.839997971,-7.389997847
5/28/1948,-0.839997994,-5.209997896
5/29/1948,-1.089997988,-6.009997878
5/30/1948,-1.359997982,-8.15999783
5/31/1948,-3.23999794,-2.609997954
6/1/1948,-3.809997927,0.170001984
6/2/1948,-2.609997954,1.620001951
6/3/1948,-1.43999798,-3.109997943
6/4/1948,-4.509997912,-4.639997909
6/5/1948,-7.26999785,-2.159997964
6/6/1948,-3.499997934,4.690001883
6/7/1948,1.050001964,-1.689997975
6/8/1948,-0.809997994,-8.079997832
6/9/1948,-4.469997913,-10.41999778
6/10/1948,6.890001833,-4.389997914
6/11/1948,7.450001821,-6.659997864
6/12/1948,4.520001886,-2.719997952
6/13/1948,6.490001842,-1.989997968
6/14/1948,3.9200019,-5.959997879
6/15/1948,6.090001851,-5.409997892
6/16/1948,2.160001939,-5.779997883
6/17/1948,-0.769997995,-8.389997825
6/18/1948,-3.029997945,-9.03999781
6/19/1948,3.700001905,-2.219997963
6/20/1948,3.670001905,-7.389997847
6/21/1948,0.970001966,-10.33999778
6/22/1948,1.99E-06,-7.959997835
6/23/1948,4.34000189,-3.409997936
6/24/1948,4.000001898,-4.339997916
6/25/1948,0.720001971,2.090001941
6/26/1948,3.390001912,0.090001985
6/27/1948,-0.899997992,4.870001879
6/28/1948,0.540001975,5.020001875
6/29/1948,7.970001809,-0.269998007
6/30/1948,7.800001813,1.020001965
7/1/1948,4.900001878,0.750001971
7/2/1948,3.370001912,4.900001878
7/3/1948,3.590001907,-2.459997958
7/4/1948,6.270001847,3.690001905
7/5/1948,2.040001942,3.540001908
7/6/1948,6.870001834,9.110001784
7/7/1948,5.650001861,6.970001832
7/8/1948,-0.369998004,6.850001834
7/9/1948,4.290001892,-1.589997977
7/10/1948,1.500001954,-2.039997967
7/11/1948,-1.369997982,3.690001905
7/12/1948,3.300001914,0.670001972
7/13/1948,4.400001889,-4.009997923
7/14/1948,1.020001965,-5.739997884
7/15/1948,-1.559997978,-4.709997907
7/16/1948,1.370001957,-2.639997954
7/17/1948,1.440001955,-7.469997846
7/18/1948,-1.569997977,1.370001957
7/19/1948,-1.239997985,3.270001914
7/20/1948,-2.189997964,3.220001915
7/21/1948,3.370001912,0.190001983
7/22/1948,5.470001865,2.420001933
7/23/1948,3.670001905,7.860001812
7/24/1948,-1.489997979,6.470001843
7/25/1948,5.370001867,3.02000192
7/26/1948,3.490001909,7.420001822
7/27/1948,-0.439998003,2.090001941
7/28/1948,-2.109997965,0.300001981
7/29/1948,5.070001874,-0.289998006
7/30/1948,-1.88999797,1.99E-06
7/31/1948,-0.189998008,4.37000189
8/1/1948,6.100001851,1.950001944
8/2/1948,10.24000176,-0.019998012
8/3/1948,6.490001842,2.14000194
8/4/1948,2.620001929,5.040001875
8/5/1948,1.490001954,6.250001848
8/6/1948,0.950001966,0.370001979
8/7/1948,-1.719997974,0.030001987
8/8/1948,3.740001904,-0.539998
8/9/1948,4.290001892,-4.039997922
8/10/1948,2.820001924,-3.869997926
8/11/1948,5.290001869,-3.939997924
8/12/1948,2.940001922,-2.109997965
8/13/1948,8.590001795,-0.219998008
8/14/1948,4.770001881,-0.199998008
8/15/1948,6.450001843,0.500001976
8/16/1948,8.3900018,3.040001919
8/17/1948,3.02000192,2.750001926
8/18/1948,-2.36999796,0.900001967
8/19/1948,1.170001961,-0.519998001
8/20/1948,6.770001836,0.070001986
8/21/1948,8.650001794,3.490001909
8/22/1948,10.19000176,5.090001874
8/23/1948,0.820001969,6.970001832
8/24/1948,2.290001936,7.740001814
8/25/1948,3.47000191,1.170001961
8/26/1948,1.520001953,4.970001876
8/27/1948,-0.619997999,3.160001917
8/28/1948,0.380001979,2.450001933
8/29/1948,-3.139997942,3.610001907
8/30/1948,-5.0399979,5.370001867
8/31/1948,-6.269997872,7.620001817
9/1/1948,-7.309997849,1.820001947
9/2/1948,3.720001904,0.100001985
9/3/1948,3.810001902,3.840001902
9/4/1948,0.970001966,-0.789997995
9/5/1948,0.720001971,-3.739997929
9/6/1948,-3.159997942,-1.839997971
9/7/1948,-1.239997985,-2.959997946
9/8/1948,-6.439997869,-3.589997932
9/9/1948,-6.059997877,6.620001839
9/10/1948,-1.869997971,8.100001806
9/11/1948,-3.889997926,3.390001912
9/12/1948,2.000001943,-1.88999797
9/13/1948,3.970001899,-7.759997839
9/14/1948,-0.689997997,5.000001876
9/15/1948,5.370001867,0.020001987
9/16/1948,3.320001913,10.17000176
9/17/1948,-0.869997993,10.14000176
9/18/1948,-3.469997935,-1.539997978
9/19/1948,4.290001892,9.570001774
9/20/1948,-9.759997794,12.7400017
9/21/1948,-6.639997864,10.09000176
9/22/1948,-4.719997907,1.870001946
9/23/1948,-3.889997926,-4.289997917
9/24/1948,-8.269997828,10.75000175
9/25/1948,-7.309997849,14.82000166
9/26/1948,3.600001907,5.72000186
9/27/1948,2.300001936,7.670001816
9/28/1948,4.200001894,3.370001912
9/29/1948,8.4000018,6.340001846
9/30/1948,1.700001949,13.92000168
10/1/1948,7.240001826,6.290001847
10/2/1948,1.170001961,11.30000173
10/3/1948,-1.859997971,12.9500017
10/4/1948,-8.779997816,8.990001787
10/5/1948,-1.839997971,3.620001907
10/6/1948,2.000001943,-0.069998011
10/7/1948,-7.489997845,-6.159997875
10/8/1948,-18.13999761,6.840001835
10/9/1948,-9.239997806,12.31000171
10/10/1948,-1.039997989,1.22000196
10/11/1948,-6.739997862,7.520001819
10/12/1948,-2.589997955,5.050001875
10/13/1948,-1.88999797,7.540001819
10/14/1948,-7.189997852,3.990001898
10/15/1948,-8.539997822,1.320001958
10/16/1948,-0.639997998,-3.439997936
10/17/1948,-9.03999781,-0.039998012
10/18/1948,-11.36999776,4.35000189
10/19/1948,-0.439998003,2.290001936
10/20/1948,9.190001782,-0.819997994
10/21/1948,5.200001871,1.970001943
10/22/1948,1.050001964,2.300001936
10/23/1948,-2.169997964,3.090001918
10/24/1948,-1.789997973,2.950001922
10/25/1948,0.150001984,-6.639997864
10/26/1948,-4.239997918,5.570001863
10/27/1948,3.390001912,8.140001805
10/28/1948,8.090001807,7.870001812
10/29/1948,-3.389997937,14.22000167
10/30/1948,6.550001841,5.620001862
10/31/1948,5.72000186,5.440001866
11/1/1948,0.500001976,5.470001865
11/2/1948,-0.559998,11.44000173
11/3/1948,-8.739997817,8.990001787
11/4/1948,-2.179997964,14.75000166
11/5/1948,3.390001912,9.250001781
11/6/1948,12.04000172,-0.819997994
11/7/1948,2.200001938,7.420001822
11/8/1948,3.570001908,3.870001901
11/9/1948,10.12000176,-1.939997969
11/10/1948,8.040001808,1.520001953
11/11/1948,5.870001856,7.340001823
11/12/1948,4.140001895,1.840001946
11/13/1948,5.420001866,-2.709997952
11/14/1948,-1.46999798,2.220001938
11/15/1948,-6.319997871,2.720001927
11/16/1948,-4.719997907,-1.739997974
11/17/1948,-9.93999779,-5.369997893
11/18/1948,-7.239997851,-5.769997884
11/19/1948,-3.70999793,-9.769997794
11/20/1948,-6.489997867,-13.08999772
11/21/1948,-10.18999778,-14.68999768
11/22/1948,-11.91999775,-12.18999774
11/23/1948,-11.88999775,-2.939997947
11/24/1948,-3.789997928,1.370001957
11/25/1948,-4.539997911,-3.23999794
11/26/1948,-3.539997933,-9.329997804
11/27/1948,1.700001949,-4.559997911
11/28/1948,6.470001843,-1.519997979
11/29/1948,-6.119997876,0.020001987
11/30/1948,-8.689997818,-10.58999778
12/1/1948,-8.15999783,4.870001879
12/2/1948,-0.649997998,3.8900019
12/3/1948,1.720001949,-3.959997924
12/4/1948,-6.159997875,1.67000195
12/5/1948,0.220001983,-11.53999775
12/6/1948,3.370001912,-15.96999766
12/7/1948,6.570001841,-7.329997849
12/8/1948,4.870001879,-2.639997954
12/9/1948,1.790001947,-2.589997955
12/10/1948,-1.119997988,4.950001877
12/11/1948,-6.769997861,3.570001908
12/12/1948,7.92000181,0.900001967
12/13/1948,8.640001794,5.200001871
12/14/1948,3.300001914,11.30000173
12/15/1948,6.200001849,2.320001936
12/16/1948,7.750001814,5.69000186
12/17/1948,5.520001864,5.170001872
12/18/1948,5.570001863,5.550001863
12/19/1948,6.340001846,12.42000171
12/20/1948,6.040001852,9.190001782
12/21/1948,3.650001906,8.540001797
12/22/1948,-6.189997874,10.67000175
12/23/1948,1.520001953,7.620001817
12/24/1948,8.070001807,8.250001803
12/25/1948,4.050001897,6.850001834
12/26/1948,3.9200019,8.740001792
12/27/1948,-0.009998012,9.490001775
12/28/1948,-1.319997983,5.870001856
12/29/1948,-6.119997876,4.260001892
12/30/1948,-8.039997833,3.820001902
12/31/1948,-7.689997841,-0.189998008
1/1/1949,-4.909997903,-7.069997855
1/2/1949,-9.769997794,-9.469997801
1/3/1949,-13.40999771,3.950001899
1/4/1949,-5.639997886,5.120001873
1/5/1949,-7.25999785,8.320001801
