Year,Age,Weight,Length,Sex,Maturity
2002,8,3.9,680,Female,3
2002,28,4.4,760,Male,3
2002,26,6,850,Female,6
2002,36,3.7,660,Male,3
2002,14,3.4,710,Female,3
2002,12,3.04,650,Male,5
2002,8,3.4,660,Female,3
2002,27,9.43,960,Female,6
2002,7,2.09,570,Male,2
2002,14,5.94,820,Female,5
2002,11,1.95,580,Male,2
2002,16,7.26,810,Female,5
2002,13,1.5,550,Female,2
2002,37,14.97,1070,Female,3
2002,6,2.77,620,Male,2
2002,23,3.58,700,Female,5
2002,6,3.86,710,Female,3
2002,31,2.95,660,Male,3
2002,9,2.59,620,Male,3
2002,8,1.95,580,Male,2
2002,27,6.67,860,Female,6
2002,31,3.86,710,Male,6
2002,27,2.95,660,Male,3
2002,12,2.54,610,Female,2
2002,8,2.18,580,Male,5
2002,22,3.7,680,Male,6
2002,28,3.9,700,Male,3
2002,26,4.3,700,Male,6
2002,44,4.8,760,Male,3
2002,14,2.7,600,Male,3
2002,58,5.1,760,Male,6
2002,10,2.6,620,Male,6
2002,11,5.2,760,Female,3
2002,12,2.4,580,Male,3
2002,24,6.4,820,Female,3
2002,7,2.2,580,Male,2
2002,33,3.3,650,Male,3
2002,37,2.9,630,Male,6
2002,24,7.6,880,Female,3
2002,26,3.6,670,Male,3
2002,20,8.6,900,Female,3
2002,12,2.6,600,Male,6
2002,24,4.1,700,Male,3
2002,33,3.7,710,Male,6
2002,38,5.9,840,Female,3
2002,14,4.8,750,Female,3
2002,31,3.4,680,Male,6
2002,30,10.5,970,Female,6
2002,13,2.6,610,Male,3
2002,12,3.5,660,Male,3
2002,23,5.9,800,Female,3
2002,10,2,560,Male,6
2002,13,2.9,610,Male,2
2002,14,3.6,710,Female,3
2002,26,6.7,820,Female,3
2002,24,4.8,720,Male,3
2002,18,2.8,650,Female,2
2002,17,4.5,710,Female,3
2002,7,1.5,540,Female,2
2002,7,2.9,640,Male,3
2002,8,2.6,630,Male,2
2002,31,3.7,720,Male,6
2002,20,3.2,690,Male,3
2002,15,2.5,590,Female,2
2002,25,3.2,670,Male,6
2002,18,5.4,750,Female,3
2002,37,4.6,720,Male,3
2002,9,3.1,650,Female,2
2002,9,3.3,620,Male,3
2002,9,3.4,660,Male,3
2002,12,5.1,740,Female,3
2002,17,4.7,750,Female,5
2002,25,5.1,770,Female,3
2002,10,3.3,670,Female,2
2002,27,2.2,610,Male,1
2002,15,2.5,620,Male,3
2002,16,3,640,Male,3
2002,9,2.2,610,Male,3
2002,23,5.5,710,Female,3
2002,9,2.4,620,Male,3
2002,38,7.2,950,Female,3
2002,17,2.8,620,Male,3
2002,16,2.2,570,Male,1
2002,11,2.1,600,Male,2
2002,10,2,590,Male,1
2002,7,2.3,590,Male,2
2002,39,4.4,760,Female,3
2002,11,2.2,580,Female,2
2002,7,2.4,590,Male,1
2002,13,2.5,600,Female,2
2002,15,1.5,540,Female,2
2002,9,2.3,590,Female,2
2002,8,2.04,560,Male,2
2002,36,3.27,680,Male,6
2002,29,4.13,710,Male,6
2002,25,3.58,680,Male,6
2002,11,2.63,640,Male,6
2002,32,3.67,680,Male,6
2002,29,6.21,800,Female,3
2002,16,2.59,620,Male,6
2002,11,3.36,670,Female,3
2002,8,1.13,490,Female,2
2002,7,2.4,620,Male,3
2002,30,3.36,660,Male,3
2002,6,2.72,620,Male,3
2002,14,2.49,620,Male,3
2002,23,3.58,720,Female,6
2002,12,2.83,640,Male,3
2002,30,3.52,670,Male,3
2002,49,4.29,730,Male,3
2002,23,3.27,670,Male,3
2002,29,3.83,700,Male,3
2002,9,2.09,600,Male,3
2002,22,3.29,660,Male,3
2002,14,3.04,680,Male,3
2002,14,3.54,660,Male,3
2002,20,2.95,630,Male,3
2002,11,3.47,680,Female,6
2002,12,3.09,620,Male,3
2002,10,2.47,610,Male,3
2002,21,3.88,680,Female,3
2002,12,2.63,660,Male,2
2002,7,2.15,600,Female,2
2002,9,1.66,540,Male,1
2002,6,2.04,580,Male,2
2002,41,7.87,880,Female,3
2002,5,2,570,Male,2
2002,24,2.49,610,Male,6
2002,18,6.51,830,Female,3
2002,9,2.34,600,Male,3
2002,11,4.54,730,Female,3
2002,11,3.97,700,Female,6
2002,6,3.56,690,Female,5
2002,25,5.22,730,Female,3
2002,11,3.52,680,Female,3
2002,11,3.42,680,Female,3
2002,21,3.72,670,Male,3
