Survey,Year,Cruise Join ID,Haul Join ID,Cruise Number,Vessel Number,Haul Number,Starting Latitude (dd),Starting Longitude (dd),Ending Latitude (dd),Ending Longitude (dd),Stratum,Stratum INPFC Area,Stratum Min Depth (m),Stratum Max Depth (m),Stratum Description,Stratum Regulatory Area Name,Stratum Type,Domain,Density,Gear Performance,Satifactory Gear Performance,Gear Performance Description,Gear Depth,Bottom Depth,Specimen ID,Biostratum,Species Code,Common Name,Scientific Name,Length (mm),Sex,Weight (gm),Age (years),Maturity,Maturity Table,Gonad Weight,Specimen Subsample Method,Specimen Sample Type,Age Determination Method,AKFIN Load Date
EBS_SHELF,2015,-698,-14691,201501,162,190,60.98339,-176.26535,61.00369,-176.29557,90,,,,"> 100 m,  N of standard area, between 100 m and convention line",,,,,0,Y,Good performance,110,112,112,0,10115,Greenland turbot,Reinhardtius hippoglossoides,520,Male,1158,,,,,6,1,,16-Oct-20
EBS_SHELF,2015,-698,-14693,201501,162,192,61.00403,-177.61143,60.99429,-177.65724,90,,,,"> 100 m,  N of standard area, between 100 m and convention line",,,,,0,Y,Good performance,133,135,162,0,10115,Greenland turbot,Reinhardtius hippoglossoides,610,Male,2144,10,,,,6,1,8,16-Oct-20
EBS_SHELF,2017,-712,-17049,201701,94,206,60.99147,-176.27536,61.01648,-176.28543,90,,,,"> 100 m,  N of standard area, between 100 m and convention line",,,,,0,Y,Good performance,110,112,56,0,10115,Greenland turbot,Reinhardtius hippoglossoides,570,Female,1798,,,,,6,1,,16-Oct-20
EBS_SHELF,2017,-712,-17050,201701,94,207,60.98397,-175.55396,61.00981,-175.55754,90,,,,"> 100 m,  N of standard area, between 100 m and convention line",,,,,0,Y,Good performance,101,103,68,0,10115,Greenland turbot,Reinhardtius hippoglossoides,720,Female,3806,13,,,,6,1,8,16-Oct-20
EBS_SHELF,2019,-727,-19472,201901,162,182,61.35144,-176.92713,61.33264,-176.96427,90,,,,"> 100 m,  N of standard area, between 100 m and convention line",,,,,0,Y,Good performance,113,115,26,0,10115,Greenland turbot,Reinhardtius hippoglossoides,590,Female,1682,7,,,,6,1,8,16-Oct-20
EBS_SHELF,2019,-727,-19477,201901,162,187,61.0005,-177.67224,61.00091,-177.62439,90,,,,"> 100 m,  N of standard area, between 100 m and convention line",,,,,0,Y,Good performance,133,136,34,0,10115,Greenland turbot,Reinhardtius hippoglossoides,760,Female,3724,11,,,,6,1,8,16-Oct-20
EBS_SHELF,2019,-727,-19480,201901,162,190,61.33385,-175.70475,61.33667,-175.65452,90,,,,"> 100 m,  N of standard area, between 100 m and convention line",,,,,0,Y,Good performance,95,98,43,0,10115,Greenland turbot,Reinhardtius hippoglossoides,480,Male,862,6,,,,6,1,8,16-Oct-20
EBS_SHELF,2016,-706,-15670,201601,94,160,60.99543,-176.26517,60.99564,-176.31796,90,,,,"> 100 m,  N of standard area, between 100 m and convention line",,,,,0,Y,Good performance,110,112,105,0,10115,Greenland turbot,Reinhardtius hippoglossoides,290,Male,190,4,,,,6,1,3,16-Oct-20
EBS_SHELF,2016,-706,-15670,201601,94,160,60.99543,-176.26517,60.99564,-176.31796,90,,,,"> 100 m,  N of standard area, between 100 m and convention line",,,,,0,Y,Good performance,110,112,108,0,10115,Greenland turbot,Reinhardtius hippoglossoides,470,Male,838,5,,,,6,1,8,16-Oct-20
EBS_SHELF,2018,-722,-18011,201801,94,190,60.99968,-176.26846,61.00101,-176.32226,90,,,,"> 100 m,  N of standard area, between 100 m and convention line",,,,,0,Y,Good performance,109,111,68,0,10115,Greenland turbot,Reinhardtius hippoglossoides,580,Female,1704,9,,,,6,1,8,16-Oct-20
